; Constellation figure definitions for SkyMap Pro 8.
;
; Taken from the constellation maps from Antonín Rükl from
; "Souhvezdí", published by Artia, Prague in 1971 and from second book
; with unknown original title (spanish translated title is "Estrellas y
; Planetas") published 1988 by Artia, Prague in 1988.
;
; Prepared for SkyMap Pro 8 by Ben Siemerink in December 2001.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a Tycho catalog number, if it refers to a star, or
; 0 for a command. The catalog number has the form:
;
;   ZZZZNNNNNP
;
; where:
;   ZZZZ    Tycho zone.
;   NNNNN   Star number within the zone.
;   P       Proximity flag.
;
; Commands are:
;   0   Move to "data"
;   1   Draw from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   Start of constellation "data".  Data is constellation index.
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

8003013721 1	draw to delta 1
8446016441 1	draw to beta
8453014991 1	draw to epsilon
8824015031 1	draw to zeta
8438019591 0	move to alpha
8003013721 1	draw to delta 1
0000000000 2	end

; Hercules

3491018591 0	move to upsilon
3067018421 1	draw to phi
3492019091 1	draw to tau
3066022131 1	draw to sigma
3070015951 1	draw to eta
2582031581 1	draw to zeta
1518014421 1	draw to beta
1513012611 1	draw to gamma
1518014421 0	move to beta
0990021331 1	draw to alpha
2620022981 0	move to theta
2604017771 1	draw to rho
2604017741 1	draw to pi
3070015951 1	draw to eta
2604017741 0	move to pi
2590014121 1	draw to epsilon
2582031581 1	draw to zeta
2590014121 0	move to epsilon
2065019301 1	draw to delta
2079020571 1	draw to lambda
2085030621 1	draw to mu
2102027721 1	draw to xi
0000000000 2	end

; Horologium

7581016001 0	move to alpha
8056011641 1	draw to iota
8484015041 1	draw to eta
8491016001 1	draw to zeta
8498013511 1	draw to mu
8862014901 1	draw to beta
0000000000 2	end

; Hydra

6755020851 0	move to 58
6738013811 1	draw to pi
6713000241 1	draw to R
6700014361 1	draw to gamma
6699013691 1	draw to psi
7226016501 1	draw to beta
7216012611 1	draw to xi
6644013311 1	draw to chi1
6641014791 1	draw to 6641-1479-1
6075018311 1	draw to nu
6061011341 1	draw to mu
5485013101 1	draw to lambda
5485013091 1	draw to upsilon 2
5487016531 1	draw to upsilon 1
5460015921 1	draw to alpha
4894025291 1	draw to iota
0227025441 1	draw to theta
0225011161 1	draw to zeta
0224013341 1	draw to rho
0215020211 1	draw to eta
0215020221 1	draw to sigma
0223017951 1	draw to delta
0224013332 1	draw to epsilon
0225011161 1	draw to zeta
0000000000 2	end

; Hydrus

8851020271 0	move to alpha
9350016261 1	draw to beta
9159016341 1	draw to gamma
8851020271 1	draw to alpha
0000000000 2	end

; Indus

8411018221 0	move to alpha
8793014781 1	draw to theta
