; Original constellation figure definitions for SkyMap Pro.
; Copyright Y C.A.Marriott 1998.
;
; Each line in this file has the format:
;   Data    Command
;
; Data is a PPM catalog number if it refers to a star.
; Commands are:
;   0   Move to "data"
;   1   Draw a solid line from previous position to "data"
;   2   End of this constellation figure
;   3   End of file
;   4   (not used)
;   5   Draw a dotted line from previous position to "data"
;

; Andromeda

045875 1        draw to iota
046127 0        move to alpha
045875 1        draw to iota
045428 1        draw to theta
026670 1        draw to phi
045875 0        move to iota
045885 1        draw to kappa
045864 1        draw to beta
068074 1        draw to rho
067819 1        draw to 16
045864 0        move to beta
046661 1        draw to epsilon
068738 0        move to omicron
068893 1        draw to zeta
068961 1        draw to xi
046661 1        draw to epsilon
046487 1        draw to nu
046257 1        draw to siqma
046127 1        draw to alpha
000000 2        end


; Phoenix

305952 0        move to delta
305902 1        draw to gamma
305721 1        draw to nu
305559 1        draw to beta
304876 1        draw to alpha
304618 1        draw to epsilon
329418 1        draw to iota
329482 1        draw to unnamed
351542 1        draw to pi
305559 0        move to beta
330793 1        draw to zeta
330455 1        draw to eta
304618 1        draw to epsilon
000000 2        end

; Pictor

355624 0        move to alpha
334652 1        draw to gamma
334622 1        draw to beta
000000 2        end

; Pisces

066044 0        move to tau
090681 1        draw to upsilon
090580 1        draw to phi
066044 1        draw to tau
090580 0        move to phi
117418 1        draw to eta
144950 1        draw to omicron
145227 1        draw to alpha
144883 1        draw to nu
144670 1        draw to mu
144204 1        draw to epsilon
143916 1        draw to delta
174637 1        draw to omega
174312 1        draw to iota
174110 1        draw to theta
173938 1        draw to gamma
174092 1        draw to kappa
174348 1        draw to lambda
174312 1        draw to iota
000000 2        end

; Pisces Austrinus

274426 0        move to alpha
274114 1        draw to epsilon
273537 1        draw to lambda
301836 1        draw to theta
301781 1        draw to iota
302229 1        draw to mu
302699 1        draw to beta
303110 1        draw to gamma
303181 1        draw to delta
274426 1        draw to alpha
000000 2        end

; Puppis

219714 0        move to 16
253514 1        draw to 11
253258 1        draw to xi
400108 1        draw to k
252722 1        draw to unnamed
284035 1        draw to unnamed
283747 1        draw to pi
310958 1        draw to nu
335509 1        draw to tau
311594 1        draw to unnamed (L?)
311853 1        draw to sigma
312524 1        draw to zeta
253887 1        draw to rho
253514 1        draw to 11
000000 2        end

; Pyxis

285512 0        move to beta
285573 1        draw to alpha
255235 1        draw to gamma
000000 2        end

; Reticulum

353699 0        move to beta
353975 1        draw to alpha
333351 1        draw to epsilon
353861 1        draw to iota
353843 1        draw to delta
353699 1        draw to beta
000000 2        end

; Sagitta

137588 0        move to eta
137344 1        draw to gamma
136976 1        draw to delta
136766 1        draw to beta
136976 0        move to delta
136737 1        draw to alpha
000000 2        end

; Sagittarius

297231 0        move to gamma
268275 1        draw to delta
268438 1        draw to lambda
268080 1        draw to mu
297231 1        draw to gamma
297508 1        draw to eta
297655 1        draw to epsilon
268275 1        draw to delta
268859 1        draw to phi
269078 1        draw to sigma
269391 1        draw to pi
235882 1        draw to rho 1
235885 1        draw to upsilon
269391 0        move to pi
269132 1        draw to xi 2
269078 1        draw to sigma
269319 1        draw to tau
269230 1        draw to zeta
268859 1        draw to phi
269319 0        move to tau
299634 1        draw to theta 1
325060 1        draw to alpha
269230 1        draw to zeta
325051 0        move to beta 2
325060 1        draw to alpha
325624 0        move to iota
299634 1        draw to theta 1
000000 2        end

; Scorpius

296857 0        move to unnamed
296488 1        draw to lambda
296424 1        draw to upsilon
296558 1        draw to unnamed
296701 1        draw to kappa
323398 1        draw to iota 1
323186 1        draw to theta
322687 1        draw to eta
322371 1        draw to zeta
295564 1        draw to mu
295532 1        draw to epsilon
265701 1        draw to tau
265579 1        draw to alpha
265440 1        draw to sigma
265254 1        draw to 13
264903 1        draw to rho
264940 1        draw to pi
265440 0        move to sigma
231334 1        draw to nu
231174 1        draw to beta
264979 1        draw to delta
000000 2        end

; Sculptor

243446 0        move to alpha
242755 1        draw to iota
275366 1        draw to delta
303593 1        draw to gamma
303896 1        draw to beta
000000 2        end

; Scutum

202135 0        move to beta
201884 1        draw to alpha
234600 1        draw to gamma
202073 1        draw to epsilon
202135 1        draw to beta
000000 2        end

; Serpens

166832 0        move to theta
165207 1        draw to 72 Oph
165145 1        draw to 70 Oph
165024 1        draw to 68 Oph
201654 1        draw to eta
233454 1        draw to omicron
233350 1        draw to xi
232954 1        draw to nu
199688 5        draw dotted to upsilon Oph
199508 1        draw to epsilon Oph
199443 1        draw to delta Oph
198983 1        draw to mu          (start of Serpens Caput)
161962 1        draw to omega
161966 1        draw to epsilon
161854 1        draw to alpha
131518 1        draw to delta
131676 1        draw to beta
131822 1        draw to gamma
131722 1        draw to kappa
131608 1        draw to iota
131676 1        draw to beta
000000 2        end

; Sextans

178201 0        move to beta
178090 1        draw to alpha
192845 1        draw to gamma
000000 2        end

; Taurus

092934 0        move to 27
093517 1        draw to upsilon
093709 1        draw to tau
094584 1        draw to zeta
120061 1        draw to alpha
119792 1        draw to gamma
119535 1        draw to lambda
146568 1        draw to xi
146534 1        draw to omicron
146728 1        draw to 10
147155 0        move to nu
146568 1        draw to xi
119139 1        draw to 5
093517 0        move to upsilon
093506 1        draw to kappa
119934 1        draw to epsilon
119835 1        draw to delta 1
119937 1        draw to theta 2
119792 0        move to gamma
147354 1        draw to mu
120054 0        move to 88
120092 1        draw to 90
119792 1        draw to gamma
094361 0        move to beta
093709 1        draw to tau
000000 2        end

; Telescopium

323819 0        move to epsilon
324099 1        draw to alpha
324133 1        draw to zeta
000000 2        end

; Triangulum

091161 0        move to alpha
066906 1        draw to epsilon
067012 1        draw to beta
