/Constellations/ConstellationFigures/dhmenz11/DHMENZEL.TXT
1 4173	9401017141 1        draw to gamma
1 4673	9420015431 1        draw to beta
0 5703	8707019901 0        move to gamma
1 5462	9015014451 1        draw to alpha
1 5669	8706010611 1        draw to beta
0 2105	7066020241 0        move to gamma
1 2295	7077020601 1        draw to delta
1 2255	7080021231 1        draw to kappa
1 2105	7066020241 1        draw to gamma
0 1861	7063011791 0        move to epsilon
1 1955	7064013571 1        draw to alpha
1 2039	7069014821 1        draw to beta
1 2105	7066020241 1        draw to gamma
1 2119	7606009891 1        draw to eta
1 2039	7069014821 1        draw to beta
0 7225	7422017371 0        move to gamma
1 7253	7917026531 1        draw to alpha
1 7258	7918015241 1        draw to beta
1 7241	7921028561 1        draw to delta
1 7187	7925027951 1        draw to zeta
0 5777	2564016291 0        move to theta
1 5746	2032016051 1        draw to beta
1 5792	2029016901 1        draw to alpha
1 5848	2036016741 1        draw to gamma
1 5946	2037018261 1        draw to epsilon
0 4622	6672009951 0        move to alpha
1 4629	6668009921 1        draw to epsilon
1 4661	6098017541 1        draw to gamma
1 4756	6103023951 1        draw to delta
1 4785	6683011161 1        draw to beta
1 4629	6668009921 1        draw to epsilon
0 4774	6103023941 0        move to eta
1 4756	6103023951 1        draw to delta
0 4566	6094015321 0        move to eta
1 4513	6096020321 1        draw to zeta
1 4404	6088021551 1        draw to gamma
1 4381	5514014231 1        draw to delta
1 4401	5512013891 1        draw to epsilon
1 4467	5510015081 1        draw to theta
1 4566	6094015321 1        draw to eta
0 4404	6088021551 0        move to gamma
1 4342	6649012741 1        draw to beta
0 4286	6079019011 0        move to alpha
1 4381	5514014231 1        draw to delta
0 4729	8979034641 0        move to alpha
1 4762	8654034221 1        draw to gamma
0 4852	8659031071 0        move to beta
1 4655	8645022631 1        draw to delta
0 7327	3920019711 0        move to kappa
1 7407	3555021121 1        draw to iota
//1 3576021571	3576021571 1        draw to omicron 2
1 7923	3574033471 1        draw to alpha
1 8027	3171021861 1        draw to nu
1 8114	2702027641 1        draw to zeta
1 7948	2695041391 1        draw to epsilon
1 7795	3156022231 1        draw to gamma
1 7527	3557024861 1        draw to delta
1 7327	3920019711 1        draw to kappa
0 7416	2133029641 0        move to beta
1 7795	3156022231 1        draw to gamma
1 7923	3574033471 1        draw to alpha
1 8078	3180026961 1        draw to xi
0 8129	3169038761 0        move to tau
1 8142	3173031511 1        draw to sigma
1 8027	3171021861 1        draw to nu
0 7851	1096016841 0        move to epsilon
1 7881	1100017201 1        draw to beta
